audio_path,transcription,first_path,sr,duration
arf_05679_01463815283,"Para la caída del cabello, tengo un nuevo champú",female_audio,48000.0,5.973333333333334
arf_05223_00524892324,Los hámsters comen zanahorias,female_audio,48000.0,3.84
arf_07973_01243309438,¿Me podés mandar fotos de la pileta?,female_audio,48000.0,4.010666666666666
arf_01208_01272386743,Hola Cristina que bueno que pueda hablar con vos,female_audio,48000.0,3.1573333333333333
arf_06136_01580696558,Tranquilo va a estar todo bien,female_audio,48000.0,4.693333333333333
arf_07060_00123224886,No sé hablar tamil,female_audio,48000.0,2.474666666666667
arf_09697_01283063308,El procesador es más lento en una computadora Dell que con una Mac.,female_audio,48000.0,4.437333333333333
arf_00295_01668185466,Adidas sacó una versión especial de zapatillas a las que no les entra el agua,female_audio,48000.0,6.656
arf_07973_02142093580,La panadería es un arte,female_audio,48000.0,3.4133333333333336
arf_02484_00401828693,¿Cuántas medallas ha ganado?,female_audio,48000.0,2.986666666666667
arf_03397_00070708341,"Acabo de comprar este control remoto universal, te doy el numero de serie y me ayudás a configurarlo",female_audio,48000.0,8.021333333333333
arf_03349_02080178656,Quisiera reservar dos pasajes por favor pero en primera clase,female_audio,48000.0,6.144
arf_01523_01434576176,La pronunciación del francés es difícil,female_audio,48000.0,5.205333333333333
arf_08421_01735233203,Ya no aguanto más este frío.,female_audio,48000.0,4.096
arf_03349_00945859989,Necesito prácticamente un curso express,female_audio,48000.0,4.949333333333334
arf_07505_00773826675,Siqueiros pintó murales en todo el mundo.,female_audio,48000.0,5.546666666666667
arf_02121_00587621030,El pijama de rayas es azul,female_audio,48000.0,3.925333333333333
arf_00610_01250551227,Quiero la cartera para un regalo de cumpleaños para Andrea.,female_audio,48000.0,5.12
arf_09334_01672452269,¿Conocés los hornos marroquíes para hacer pan?,female_audio,48000.0,5.461333333333333
arf_09799_01449247863,Tiene una película muy famosa que se llama Dos Mil Uno una Odisea del Espacio,female_audio,48000.0,7.082666666666666
arf_02484_01031702658,¿Cuántos deportes se practican en las Olimpíadas y cuántos países participan?,female_audio,48000.0,4.864
arf_00295_01362792856,"Ya llegó el taxi, está acá afuera",female_audio,48000.0,4.608
arf_08886_00911286541,¿Quién subió el mejor video?,female_audio,48000.0,2.7306666666666666
arf_07508_00264979610,¿En qué calle está la casa?,female_audio,48000.0,3.584
arf_03034_01482687432,¿Fuiste a la Casa de Frida Kahlo?,female_audio,48000.0,4.778666666666667
arf_04766_01800162063,Tengo muchos discos de vinilo,female_audio,48000.0,3.2426666666666666
arf_02436_00611339611,Le recomiendo los fiordos noruegos,female_audio,48000.0,5.717333333333333
arf_03034_00669347754,No me gusta comer en un lugar con mucha gente.,female_audio,48000.0,5.546666666666667
arf_07505_01016145215,En Alaska hay muchos animales salvajes.,female_audio,48000.0,5.205333333333333
arf_09334_01344759024,¿Dónde encuentro una farmacia abierta a estas horas?,female_audio,48000.0,6.144
arf_01523_00157884753,La parte de las cataratas del Niágara que está del lado estadounidense es bastante aburrida,female_audio,48000.0,8.021333333333333
arf_08784_00595465846,¿La casa esta amueblada o no?,female_audio,48000.0,4.352
arf_02484_01268075048,"No tengo ni idea de cómo cambiar una rueda, no sé si pueda pedir asistencia si me puedes ayudar vos",female_audio,48000.0,6.485333333333333
arf_02121_00020869315,Estacione el auto en una zona segura y encienda las luces intermitentes,female_audio,48000.0,6.656
arf_05679_00640255156,¿Cuántas medallas ha ganado?,female_audio,48000.0,4.864
arf_06136_01217454403,¿Ve usted la pestaña en la parte superior izquierda que dice buscar?,female_audio,48000.0,6.570666666666667
arf_01523_01285708357,¿En cuántos juegos olímpicos ha participado?,female_audio,48000.0,5.717333333333333
arf_03034_01915631949,¿Cómo va el partido de rugby?,female_audio,48000.0,3.7546666666666666
arf_03349_01424879140,¿Quiero saber el origen de la palabra astronauta?,female_audio,48000.0,5.888
arf_05223_01148309848,¿Cuáles son las principales diferencias?,female_audio,48000.0,3.498666666666667
arf_07508_00098854240,¿Pensaste darles un yogurt con frutas? ¡A los chicos les encanta!,female_audio,48000.0,5.717333333333333
arf_05223_01959225343,La mermelada de zarzamora es muy fácil de hacer,female_audio,48000.0,4.181333333333333
arf_05223_00377191809,Es muy importante el apoyo nasal en la pronunciación,female_audio,48000.0,5.034666666666666
arf_00295_01675776066,Tiene que esperar alrededor de treinta segundos para que la aplicación se instale en su celular,female_audio,48000.0,8.533333333333333
arf_08886_01192481285,"Las tejas rojas del tejado no son de México, son de Texas",female_audio,48000.0,4.266666666666667
arf_00610_01644723213,Está muy cansado,female_audio,48000.0,4.266666666666667
arf_06592_00125032203,Estoy acá con un amigo discutiendo sobre el encuentro de boxeo,female_audio,48000.0,6.570666666666667
arf_03853_01676275582,Por las tardes se escucha música en la Plaza.,female_audio,48000.0,5.632
arf_09334_01145243830,¿Has visto alguna vez un erizo de mar?,female_audio,48000.0,4.778666666666667
arf_08886_02068307585,¿Qué dicen las noticias de esta mañana?,female_audio,48000.0,4.608
arf_09799_01992158274,Tengo muchísimas ganas de ver una buena película,female_audio,48000.0,6.314666666666667
arf_07508_01703329344,¿Cuáles son las noticias más recientes de las elecciones Inglesas?,female_audio,48000.0,5.717333333333333
arf_07060_00289255458,Estoy cansado de comer dulces,female_audio,48000.0,4.266666666666667
arf_08784_02109005228,¿Cuánto cuesta este servicio o es gratuito?,female_audio,48000.0,4.864
arf_08421_01107994360,Ahora podés encontrar pan baguette en todos lados.,female_audio,48000.0,4.864
arf_04766_01127064265,¿A qué hora querés ir al cine?,female_audio,48000.0,2.901333333333333
arf_09697_01129802617,El viaje por tierra es más largo que el viaje en barco.,female_audio,48000.0,3.84
arf_05223_00566287049,La bicicleta urbana se ha convertido en uno de los medios de transporte más peligrosos,female_audio,48000.0,5.802666666666667
arf_08784_00307156051,Los higaditos de pollo me encantan,female_audio,48000.0,4.693333333333333
arf_07060_00950199408,Me gusta como habla un norteamericano el español,female_audio,48000.0,4.949333333333334
arf_00295_01708733090,No te entiendo nada,female_audio,48000.0,3.669333333333333
arf_01523_01360624606,"Ramón, ¿podrás proponer alguna película para hoy a la noche?",female_audio,48000.0,7.850666666666666
arf_00295_00928515627,Los corazones de pollo son una delicia,female_audio,48000.0,5.12
arf_07505_01098323449,Las leyendas nórdicas son fascinantes.,female_audio,48000.0,5.973333333333334
arf_03349_02006408310,Los quesos que hacen en esa zona son para chuparse los dedos,female_audio,48000.0,5.717333333333333
arf_03853_01569147671,Aprendí a coser un parche.,female_audio,48000.0,4.096
arf_00610_00963427221,¿Tenés algunos otros requisitos?,female_audio,48000.0,3.84
arf_09334_01157154415,Los hongos rojos no son comestibles,female_audio,48000.0,4.266666666666667
arf_03034_00700260972,Los quesos que hacen en esa zona son para chuparse los dedos,female_audio,48000.0,6.656
arf_07973_01196821044,Estoy teniendo problemas con el auto y un amigo me recomendó un Ford Lobo,female_audio,48000.0,5.888
arf_07973_00560020448,Hoy decidí dejar de ser enfermera,female_audio,48000.0,3.925333333333333
arf_02121_00205710511,Estoy muy emocionada porque me voy a Tierra del Fuego,female_audio,48000.0,6.656
arf_00610_01838963639,Mi dolor de espalda empeora cuando me despierto tarde.,female_audio,48000.0,5.12
arf_08421_01923002200,Quiero celebrar las buenas notas de mi hija.,female_audio,48000.0,4.608
arf_05223_01106289228,Del subte a la escuela son once minutos,female_audio,48000.0,3.7546666666666666
arf_00295_01755168214,Quiero que sea un lugar de calidad y que esté abierto hasta tarde.,female_audio,48000.0,6.314666666666667
arf_08784_01425331513,Tocar el xilófono es mi hobby favorito,female_audio,48000.0,4.522666666666667
arf_00295_00131212768,Quiero saber que tipo de pizza tiene menos calorías.,female_audio,48000.0,5.973333333333334
arf_02484_00281161563,Está muy cansado,female_audio,48000.0,2.389333333333333
arf_09334_00235350601,El campeonato de surf más antiguo del mundo es el de las islas Hawai,female_audio,48000.0,6.826666666666667
arf_06592_01159791898,Por las tardes se escucha música en la Plaza.,female_audio,48000.0,4.693333333333333
arf_06136_01111046623,"Ya llegó el taxi, está acá afuera",female_audio,48000.0,5.461333333333333
arf_05223_02029601224,¿Cuántas horas duerme un gato?,female_audio,48000.0,2.986666666666667
arf_03397_01158291487,¿Me podés mandar fotos de él?,female_audio,48000.0,4.437333333333333
arf_06136_01631214682,Me alegro que tus amigos estén bien,female_audio,48000.0,5.376
arf_07060_00340391491,La mermelada de zarzamora es muy fácil de hacer,female_audio,48000.0,4.010666666666666
arf_05223_01765503254,Voy a ir a correr con mi amiga Pepita y estamos buscando una pista de atletismo,female_audio,48000.0,5.802666666666667
arf_04310_00669688184,Parece que necesitás una crema extra hidratante.,female_audio,48000.0,4.437333333333333
arf_02484_01137362481,Hay que ponernos de acuerdo,female_audio,48000.0,2.2186666666666666
arf_04310_01224321387,Tiene una película muy famosa que se llama Viaje al Centro de la Tierra,female_audio,48000.0,5.290666666666667
arf_03397_00896316134,¿Me podés mandar fotos de la casa?,female_audio,48000.0,4.864
