audio_path,transcription,first_path,sr,duration,transcription_len
arm_09697_00831674848,"Para la caída del cabello, tengo un nuevo jabón",male_audio,48000.0,3.584,47
arm_01523_01987826609,¿Qué color favorito es el más popular?,male_audio,48000.0,3.328,38
arm_04310_00403055305,El pijama de rayas es azul,male_audio,48000.0,4.693333333333333,26
arm_08784_00917516295,Las máquinas de escribir antiguas pueden ser muy caras.,male_audio,48000.0,5.802666666666667,55
arm_04310_00889460756,Al circular menos automóviles en la ciudad se logra una mejor calidad del aire,male_audio,48000.0,5.546666666666667,78
arm_00610_01139683822,¿A qué hora querés ir al cine?,male_audio,48000.0,3.84,30
arm_08421_00267033759,Estoy destinada a triunfar,male_audio,48000.0,2.6453333333333333,26
arm_02484_00643843323,"Tengo una junta de negocios con la firma de abogados, ¿se acuerda?",male_audio,48000.0,5.290666666666667,66
arm_08784_01796089064,"Para abrir los poros de la piel lo mejor es ir a un sauna, o tomar un baño de vapor",male_audio,48000.0,9.216,83
arm_03397_00908571298,Para hacer esa receta necesitás fruta y alcohol,male_audio,48000.0,3.584,47
arm_07508_01501418353,Quiero que me ayudes a elegir un regalo.,male_audio,48000.0,3.498666666666667,40
arm_08421_01607544910,La yoga además de relajarte y de equilibrar tu organismo también te permitirá tonificar los brazos y las piernas,male_audio,48000.0,7.509333333333333,112
arm_08784_02024472792,La obscuridad del pozo era obscena por naturaleza,male_audio,48000.0,6.4,49
arm_09334_01336332492,Aquí doblamos a la derecha,male_audio,48000.0,2.816,26
arm_01523_00743864090,"Las tejas rojas del tejado no son de México, son de Texas",male_audio,48000.0,4.522666666666667,57
arm_08784_00976649476,Estaba pensando en ir a acampar.,male_audio,48000.0,5.546666666666667,32
arm_09697_00902499724,Lo podés pagar con la tarjeta verde de Visa,male_audio,48000.0,3.925333333333333,43
arm_02484_01428475484,¿Cuáles son las principales diferencias?,male_audio,48000.0,3.84,40
arm_07049_01585081217,¿Cuál es la estación de metro más cercana?,male_audio,48000.0,3.584,42
arm_08421_02017682340,Si el cuerpo pide descanso hay que dárselo dicen los médicos,male_audio,48000.0,4.096,60
arm_03397_01255542527,"Mañana vaya abrigada, un gorro de lana y guantes es lo más recomendable",male_audio,48000.0,5.376,71
arm_05223_01086656404,El viaje en avión es más rápido que en barco.,male_audio,48000.0,4.949333333333334,45
arm_05223_01060370073,¿Quién subió el mejor video?,male_audio,48000.0,3.7546666666666666,28
arm_09697_00261319027,La pronunciación del francés es difícil,male_audio,48000.0,2.816,39
arm_08784_00961606918,Me ayudas a plantar los naranjos,male_audio,48000.0,5.290666666666667,32
arm_06136_00608530830,El Llano en Llamas es un clásico de Juan Rulfo,male_audio,48000.0,5.376,46
arm_03397_01374111004,Quiero averiguar como se llama un director de cine,male_audio,48000.0,2.986666666666667,50
arm_08784_00379700365,¿Cuándo sucedió la Primera Guerra Mundial?,male_audio,48000.0,5.632,42
arm_08421_02134631072,Por ahí se dice que este personaje malverso una cantidad extraordinaria de fondos públicos,male_audio,48000.0,6.058666666666666,90
arm_07508_00715629906,"En las noticias de anoche, no vi que el presidente de Estados Unidos estuviera en problemas con el senado.",male_audio,48000.0,7.424,106
arm_02484_02134047694,"Las bocinas estas que te dije son enormes, ¿sabés que se puede hacer con ellas?",male_audio,48000.0,6.144,79
arm_06136_01111664837,"Es muy fácil usar las bicis de la ciudad, con tu tarjeta de crédito alquilas tu bici.",male_audio,48000.0,7.68,85
arm_03397_00147817153,Mañana va a hacer mucho viento y habrá tormentas,male_audio,48000.0,4.352,48
arm_08784_00648369718,El dictador Franco estuvo cuarenta años en el poder.,male_audio,48000.0,5.461333333333333,52
arm_09334_01109753057,¿Quién subió el mejor video?,male_audio,48000.0,2.474666666666667,28
arm_08421_01864879945,Te voy a mandar por whatsapp las especificaciones de los invitados,male_audio,48000.0,4.608,66
arm_02484_00477785187,La calle está llena de hoyos,male_audio,48000.0,4.010666666666666,28
